index,cep,logradouro,complemento,bairro,localidade,uf,ibge,gia,ddd,siafi
60150170,60150-170,Rua Maria Tomásia,,Aldeota,Fortaleza,CE,2304400,,85,1389
60160120,60160-120,Rua Canuto de Aguiar,,Meireles,Fortaleza,CE,2304400,,85,1389
60811180,60811-180,Rua Professor Frota Pinto,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60876330,60876-330,Rua Verde 3,(Cj Sítio São João),Jangurussu,Fortaleza,CE,2304400,,85,1389
60135410,60135-410,Rua Dom Expedito Lopes,,Dionisio Torres,Fortaleza,CE,2304400,,85,1389
60822220,60822-220,Avenida Engenheiro Agrônomo José Guimarães Duque,de 990/991 ao fim,Cambeba,Fortaleza,CE,2304400,,85,1389
60140025,60140-025,Rua Bárbara de Alencar,de 851/852 ao fim,Aldeota,Fortaleza,CE,2304400,,85,1389
60844150,60844-150,Rua Francisco Leandro,,Curió,Fortaleza,CE,2304400,,85,1389
60175140,60175-140,Travessa Delmiro Gouveia,,Varjota,Fortaleza,CE,2304400,,85,1389
60165110,60165-110,Rua Juazeiro do Norte,,Meireles,Fortaleza,CE,2304400,,85,1389
60878050,60878-050,Rua 4,(Lot Bairro Novo),Pedras,Fortaleza,CE,2304400,,85,1389
60813520,60813-520,Rua Chico Feitosa do Cococi,,Engenheiro Luciano Cavalcante,Fortaleza,CE,2304400,,85,1389
60822080,60822-080,Rua Manoel Monteiro,,Cidade dos Funcionários,Fortaleza,CE,2304400,,85,1389
60822240,60822-240,Avenida Pedro Lazar,até 99997/99998,Cambeba,Fortaleza,CE,2304400,,85,1389
60160041,60160-041,Rua Tenente Benévolo,de 891/892 ao fim,Meireles,Fortaleza,CE,2304400,,85,1389
60874502,60874-502,Rodovia BR-116,lado par,Pedras,Fortaleza,CE,2304400,,85,1389
60810140,60810-140,Rua Jornalista César Magalhães,,Guararapes,Fortaleza,CE,2304400,,85,1389
60810050,60810-050,Rua Professor Jacinto Botelho,,Guararapes,Fortaleza,CE,2304400,,85,1389
60115081,60115-081,Rua Barão de Aracati,de 851/852 a 2099/2100,Aldeota,Fortaleza,CE,2304400,,85,1389
60861820,60861-820,Rua Alencar Oliveira,,Passaré,Fortaleza,CE,2304400,,85,1389
60110301,60110-301,Rua João Cordeiro,de 883 a 2099 - lado ímpar,Aldeota,Fortaleza,CE,2304400,,85,1389
60836085,60836-085,Rua Francisco Matias,,Sabiaguaba,Fortaleza,CE,2304400,,85,1389
